year,city_temp,global_temp,mov_avg_city,mov_avg_gbl
1849,25.98,7.98,25.97888889,8.588410596
1850,25.87,7.9,25.97,8.592466667
1851,26.1,8.18,26.03555556,8.597114094
1856,26.35,8,26.03333333,8.599932432
1857,25.45,7.76,25.97444444,8.604013605
1858,25.92,8.1,26.01555556,8.609794521
1859,26.18,8.25,26.06333333,8.613310345
1860,26.01,7.96,26.07222222,8.615833333
1861,25.95,7.85,26.03444444,8.62041958
1862,25.9,7.56,26.05555556,8.62584507
1873,26.46,8.35,26.11,8.633404255
1874,26.08,8.43,26.06,8.635428571
1875,25.82,7.86,26.09777778,8.636906475
1876,25.82,8.08,26.16555556,8.642536232
1877,26.35,8.54,26.18666667,8.646642336
1878,26.26,8.83,26.13333333,8.647426471
1879,25.67,8.17,26.00333333,8.646074074
1880,26.14,8.12,25.97555556,8.649626866
1881,26.39,8.27,25.88666667,8.653609023
1882,26.01,8.13,25.71666667,8.656515152
1883,26.42,7.98,25.63666667,8.660534351
1884,26.43,7.77,25.53333333,8.665769231
1885,26.01,7.92,25.44888889,8.672713178
1886,25.87,7.95,25.40222222,8.67859375
1887,25.09,7.91,25.40777778,8.684330709
1888,25.42,8.09,25.49444444,8.69047619
1889,25.34,8.32,25.59111111,8.69528
1890,24.86,7.97,25.64111111,8.698306452
1891,25.29,8.02,25.80222222,8.704227642
1892,25.49,8.07,25.92777778,8.709836066
1893,25.67,8.06,26.04333333,8.715123967
1894,25.59,8.16,26.09,8.720583333
1895,25.92,8.15,26.1,8.725294118
1896,25.87,8.21,26.05111111,8.730169492
1897,26.29,8.29,26.08333333,8.734615385
1898,25.79,8.18,26.07444444,8.738448276
1899,26.31,8.4,26.09333333,8.743304348
1900,26.42,8.5,26.07555556,8.746315789
1901,26.53,8.54,26.03777778,8.748495575
1902,26.09,8.3,25.99333333,8.750357143
1903,25.68,8.22,25.95222222,8.754414414
1904,25.48,8.09,26.00666667,8.759272727
1905,26.16,8.23,26.13666667,8.765412844
1906,26.21,8.38,26.20222222,8.77037037
1907,25.96,7.95,26.26888889,8.774018692
1908,26.15,8.19,26.34,8.781792453
1909,26.08,8.18,26.43,8.787428571
1910,26.13,8.22,26.46666667,8.793269231
1911,25.72,8.18,26.53,8.798834951
1912,26.17,8.17,26.64111111,8.804901961
1913,26.65,8.3,26.70777778,8.811188119
1914,26.75,8.59,26.71666667,8.8163
1915,26.81,8.59,26.70333333,8.818585859
1916,26.6,8.23,26.71888889,8.820918367
1917,26.96,8.02,26.72333333,8.827010309
1918,26.41,8.13,26.72444444,8.835416667
1919,26.7,8.38,26.77666667,8.842842105
1920,26.72,8.36,26.78222222,8.847765957
1921,26.77,8.57,26.75555556,8.853010753
1922,26.73,8.41,26.76333333,8.856086957
1923,26.63,8.42,26.77666667,8.860989011
1924,26.95,8.51,26.75777778,8.865888889
1925,26.64,8.53,26.75555556,8.86988764
1926,26.97,8.73,26.78333333,8.87375
1927,26.88,8.52,26.77555556,8.875402299
1928,26.75,8.63,26.75111111,8.879534884
1929,26.48,8.24,26.77444444,8.882470588
1930,26.84,8.63,26.81222222,8.890119048
1931,26.85,8.72,26.76222222,8.893253012
1932,26.46,8.71,26.75777778,8.895365854
1933,26.93,8.34,26.85777778,8.897654321
1934,26.89,8.63,26.86,8.904625
1935,26.9,8.52,26.82,8.908101266
1936,26.66,8.55,26.83888889,8.913076923
1937,26.96,8.7,26.88444444,8.917792208
1938,26.82,8.86,26.85777778,8.920657895
1939,26.39,8.76,26.87555556,8.921466667
1940,26.81,8.76,26.9,8.923648649
1941,27.36,8.77,26.91888889,8.925890411
1942,26.95,8.73,26.83111111,8.928055556
1943,26.53,8.76,26.82444444,8.93084507
1944,27.07,8.85,26.83888889,8.933285714
1945,27.07,8.58,26.79333333,8.934492754
1946,26.72,8.68,26.70555556,8.939705882
1947,26.98,8.8,26.67222222,8.94358209
1948,26.61,8.75,26.59777778,8.945757576
1949,26.98,8.59,26.60222222,8.948769231
1950,26.57,8.37,26.56888889,8.954375
1951,26.89,8.63,26.58555556,8.963650794
1952,26.66,8.64,26.56222222,8.969032258
1953,26.66,8.87,26.54,8.97442623
1954,26.28,8.56,26.52777778,8.976166667
1955,26.42,8.63,26.60888889,8.983220339
1956,26.31,8.28,26.61555556,8.989310345
1957,26.65,8.73,26.64,9.001754386
1958,26.68,8.77,26.66111111,9.006607143
1959,26.72,8.73,26.63333333,9.010909091
1960,26.68,8.58,26.62777778,9.016111111
1961,26.46,8.8,26.65111111,9.024339623
1962,26.55,8.75,26.70222222,9.028653846
1963,27.01,8.86,26.70333333,9.034117647
1964,26.48,8.41,26.69222222,9.0376
1965,26.53,8.53,26.77222222,9.050408163
1966,26.84,8.6,26.76222222,9.06125
1967,26.43,8.7,26.69888889,9.07106383
1968,26.67,8.52,26.69222222,9.079130435
1969,26.89,8.6,26.73,9.091555556
1970,26.92,8.7,26.71222222,9.102727273
1971,26.56,8.6,26.72,9.112093023
1972,26.91,8.5,26.75222222,9.124285714
1973,27.2,8.95,26.73888889,9.139512195
1974,26.44,8.47,26.67888889,9.14425
1975,26.27,8.74,26.74,9.161538462
1976,26.37,8.35,26.81888889,9.172631579
1977,27.01,8.85,26.86,9.194864865
1978,26.73,8.69,26.82,9.204444444
1979,26.99,8.73,26.90666667,9.219142857
1980,26.85,8.98,26.91222222,9.233529412
1981,26.79,9.17,26.89666667,9.241212121
1982,26.66,8.64,26.92666667,9.2434375
1983,26.99,9.03,26.95111111,9.262903226
1984,26.98,8.69,26.92222222,9.270666667
1985,26.74,8.66,26.91333333,9.290689655
1986,26.65,8.83,26.92444444,9.313214286
1987,27.51,8.99,26.97111111,9.331111111
1988,27.04,9.2,26.90555556,9.344230769
1989,26.71,8.92,26.89111111,9.35
1990,27.06,9.23,26.98222222,9.367916667
1991,26.88,9.18,26.97888889,9.373913043
1992,26.73,8.84,26.99444444,9.382727273
1993,26.9,8.87,27.01555556,9.408571429
1994,26.84,9.04,27.04111111,9.4355
1995,27.07,9.35,27.1,9.456315789
1996,26.92,9.04,27.12777778,9.462222222
1997,26.91,9.2,27.18,9.487058824
1998,27.53,9.52,27.24888889,9.505
1999,27.03,9.29,27.24111111,9.504
2000,27.02,9.2,27.27111111,9.519285714
2001,26.92,9.41,27.32777778,9.543846154
2002,27.13,9.57,27.42444444,9.555
2003,27.37,9.53,27.44888889,9.553636364
2004,27.32,9.32,27.42444444,9.556
2005,27.39,9.7,27.42888889,9.582222222
2006,27.53,9.53,27.43375,9.5675
2007,27.46,9.73,27.42,9.572857143
2008,27.3,9.43,27.41333333,9.546666667
2009,27.53,9.51,27.436,9.57
2010,27.79,9.7,27.4125,9.585
2011,27.35,9.52,27.28666667,9.546666667
2012,27.15,9.51,27.255,9.56
2013,27.36,9.61,27.36,9.61
