year,city_temp,global_temp,mov_avg_city,mov_avg_gbl
1750,10.25,8.72,9.106666667,8.034444444
1751,9.99,7.98,9.056666667,7.953333333
1752,6.54,5.78,8.975555556,7.865555556
1753,9.42,8.39,9.325555556,8.197777778
1754,9.2,8.47,9.277777778,8.222222222
1755,8.95,8.36,9.227777778,8.114444444
1756,9.42,8.85,9.248888889,8.118888889
1757,9.34,9.02,9.196666667,8.052222222
1758,8.85,6.74,9.166666667,7.984444444
1759,9.8,7.99,9.181111111,8.148888889
1760,9.26,7.19,9.105555556,8.014444444
1761,9.69,8.77,9.081111111,8.07
1762,8.99,8.61,9.007777778,7.95
1763,8.75,7.5,8.984444444,7.865555556
1764,9.14,8.4,9.052222222,7.942222222
1765,8.95,8.25,9.073333333,7.922222222
1766,9.07,8.41,9.09,7.98
1767,8.98,8.22,9.204444444,8.065555556
1768,9.12,6.78,9.23,8.074444444
1769,9.04,7.69,9.244444444,8.238888889
1770,9.03,7.69,9.328888889,8.333333333
1771,8.78,7.85,9.521111111,8.476666667
1772,9.36,8.19,9.62,8.652222222
1773,9.33,8.22,9.736666667,8.642222222
1774,9.1,8.77,9.637777778,8.606666667
1775,10.1,9.18,9.734444444,8.485555556
1776,9.21,8.3,9.533333333,8.338888889
1777,9.25,8.26,9.458888889,8.234444444
1778,9.8,8.54,9.358888889,8.234444444
1779,10.76,8.98,9.328888889,8.177777778
1780,9.67,9.43,9.176666667,8.118888889
1781,10.41,8.1,9.115555556,7.996666667
1782,8.44,7.9,9.033333333,7.983333333
1783,9.97,7.68,9.161111111,8.02
1784,8.29,7.86,9.115555556,8.065555556
1785,8.54,7.36,9.26,8.106666667
1786,8.35,8.26,9.422222222,8.236666667
1787,9.53,8.03,9.515555556,8.246666667
1788,9.39,8.45,9.512222222,8.273333333
1789,9.12,8.33,9.537777778,8.28
1790,9.67,7.98,9.616666667,8.317777778
1791,9.59,8.23,9.424444444,8.376666667
1792,9.56,8.09,9.394444444,8.404444444
1793,9.59,8.23,9.407777778,8.46
1794,10,8.53,9.376666667,8.498888889
1795,9.19,8.35,9.242222222,8.495555556
1796,9.5,8.27,9.262222222,8.55
1797,9.62,8.51,9.157777778,8.582222222
1798,9.83,8.67,9.185555556,8.573333333
1799,7.94,8.51,9.096666667,8.53
1800,9.32,8.48,9.204444444,8.432222222
1801,9.68,8.59,9.167777778,8.276666667
1802,9.31,8.58,9.088888889,8.091111111
1803,8.79,8.5,9.176666667,7.9
1804,9.37,8.84,9.153333333,7.738888889
1805,8.56,8.56,9.126666667,7.616666667
1806,9.87,8.43,9.056666667,7.508888889
1807,9.03,8.28,8.958888889,7.376666667
1808,8.91,7.63,8.842222222,7.227777778
1809,8.99,7.08,8.846666667,7.155555556
1810,8.97,6.92,8.945555556,7.238888889
1811,10.1,6.86,9.013333333,7.288888889
1812,8.58,7.05,8.847777778,7.373333333
1813,9.13,7.74,8.964444444,7.488888889
1814,7.93,7.59,9.101111111,7.538888889
1815,8.99,7.24,9.197777778,7.553333333
1816,7.98,6.94,9.271111111,7.698888889
1817,8.95,6.98,9.493333333,7.86
1818,9.88,7.83,9.623333333,8.013333333
1819,9.58,7.37,9.566666667,8.122222222
1820,8.61,7.62,9.624444444,8.211111111
1821,9.63,8.09,9.551111111,8.246666667
1822,10.36,8.19,9.456666667,8.294444444
1823,8.8,7.72,9.417777778,8.233333333
1824,9.65,8.55,9.466666667,8.203333333
1825,9.98,8.39,9.438888889,8.143333333
1826,10.12,8.36,9.506666667,8.116666667
1827,9.37,8.81,9.435555556,8.008888889
1828,10.1,8.17,9.398888889,7.885555556
1829,7.95,7.94,9.26,7.797777778
1830,8.78,8.52,9.271111111,7.75
1831,10.01,7.64,9.283333333,7.651111111
1832,9.24,7.45,9.135555556,7.668888889
1833,9.4,8.01,9.122222222,7.695555556
1834,10.59,8.15,9.125555556,7.696666667
1835,9.48,7.39,8.993333333,7.698888889
1836,9.04,7.7,8.923333333,7.727777778
1837,8.85,7.38,8.858888889,7.744444444
1838,8.05,7.51,9.04,7.874444444
1839,8.89,7.63,9.172222222,7.938888889
1840,8.68,7.8,9.242222222,7.977777778
1841,9.12,7.69,9.324444444,7.997777778
1842,9.43,8.02,9.317777778,8.021111111
1843,9.4,8.17,9.288888889,8.038888889
1844,8.85,7.65,9.351111111,8.031111111
1845,8.46,7.85,9.305555556,8.074444444
1846,10.48,8.55,9.398888889,8.114444444
1847,9.24,8.09,9.126666667,8.065555556
1848,9.52,7.98,9.118888889,8.055555556
1849,9.42,7.98,9.195555556,8.031111111
1850,9.06,7.9,9.171111111,8.044444444
1851,9.17,8.18,9.272222222,8.083333333
1852,9.96,8.1,9.161111111,8.058888889
1853,8.44,8.04,9.101111111,8.031111111
